id_cabang,id_uker,Nama Cabang,Nama Uker
319,319,KC Cikarang,KC Cikarang
426,426,KC Jakarta   Menara BRILiaN,KC Jakarta Menara   BRILiaN
341,341,KC Jakarta   Warung Buncit,KC Jakarta Warung   Buncit
671,671,KC Bursa Efek   Indonesia,KC Bursa Efek   Indonesia
423,423,KC Bekasi   Siliwangi,KC Bekasi Siliwangi
387,387,KC KCgor   Padjajaran,KC KCgor Padjajaran
420,420,KC Jakarta   Panglima Polim,KC Jakarta Panglima   Polim
139,139,KC Bekasi,KC Bekasi
422,422,KC Cimanggis,KC Cimanggis
430,430,KC Jakarta   Radio Dalam,KC Jakarta Radio   Dalam
339,339,KC Jakarta   Pasar Minggu,KC Jakarta Pasar   Minggu
390,390,KC Jakarta   Pancoran,KC Jakarta Pancoran
538,538,KC Depok,KC Depok
425,425,KC Jakarta   Ampera,KC Jakarta Ampera
443,443,KC Jakarta TB   Simatupang,KC Jakarta TB   Simatupang
362,362,KC Jakarta   Pondok Indah,KC Jakarta Pondok   Indah
12,12,KC KCgor Dewi   Sartika,KC KCgor Dewi Sartika
302,302,KC Cikampek,KC Cikampek
385,385,KC Pondok Gede,KC Pondok Gede
359,359,KC Jakarta   Gatot Subroto,KC Jakarta Gatot   Subroto
2101,2101,KC Mabes TNI   Cilangkap,KC Mabes TNI   Cilangkap
421,421,KC Cibinong,KC Cibinong
424,424,KC Bekasi   Harapan Indah,KC Bekasi Harapan   Indah
193,193,KC Jakarta   Kebayoran Baru,KC Jakarta Kebayoran   Baru
444,444,KC Tambun,KC Tambun
116,116,KC Karawang,KC Karawang
378,378,KC Jakarta   Rasuna Said,KC Jakarta Rasuna   Said
384,384,KC Cibubur,KC Cibubur
330,330,KC Jakarta   Fatmawati,KC Jakarta Fatmawati
376,376,KC Jakarta   Sudirman 1,KC Jakarta Sudirman 1
428,428,KC Jakarta   Lebak Bulus,KC Jakarta Lebak   Bulus
1223,1223,KC Jakarta   Mall Ambasador,KC Jakarta Mall   Ambasador
341,2233,KC Jakarta   Warung Buncit,KCP Kemenakertrans
387,1180,KC KCgor   Padjajaran,KCP Baranangsiang
385,527,KC Pondok Gede,KCP Pondok Melati
421,1151,KC Cibinong,KCP Karang Asem Barat
302,1181,KC Cikampek,KCP Kosambi
421,1134,KC Cibinong,KCP Cibinong Mayor   Oking
424,529,KC Bekasi   Harapan Indah,KCP Sentral Niaga   Kali Malang
193,1211,KC Jakarta   Kebayoran Baru,KCP Kementerian   Pekerjaan Umum
421,2221,KC Cibinong,KCP Tegar Beriman
387,1149,KC KCgor   Padjajaran,KCP Batu Tulis
384,578,KC Cibubur,KCP Kranggan Bekasi
