id_region,id_area,id_cabang,Nama Cabang,Nama Area
317,1,317,KANWIL JAKARTA 2,KANWIL JAKARTA 2
317,2,116,KC Karawang,Area Bekasi
317,2,139,KC Bekasi,Area Bekasi
317,2,302,KC Cikampek,Area Bekasi
317,2,319,KC Cikarang,Area Bekasi
317,2,423,KC BEKASI SILIWANGI,Area Bekasi
317,2,424,KC Bekasi Harapan Indah,Area Bekasi
317,2,444,KC Tambun,Area Bekasi
317,3,12,KC Bogor,Area Bogor Dewi Sartika
317,3,384,KC Cibubur,Area Bogor Dewi Sartika
317,3,387,KC Bogor Pajajaran,Area Bogor Dewi Sartika
317,3,421,KC Cibinong,Area Bogor Dewi Sartika
317,3,422,KC Cimanggis,Area Bogor Dewi Sartika
317,3,538,KC Depok,Area Bogor Dewi Sartika
317,4,193,KC Jakarta Kebayoran Baru,Area Jakarta Fatmawati
317,4,330,KC Jakarta Fatmawati,Area Jakarta Fatmawati
317,4,362,KC Jakarta Pondok Indah,Area Jakarta Fatmawati
317,4,420,KC Jakarta Panglima Polim,Area Jakarta Fatmawati
317,4,428,KC LEBAK BULUS,Area Jakarta Fatmawati
317,4,430,KC Jakarta Radio Dalam,Area Jakarta Fatmawati
317,5,359,KC Jakarta Gatot Subroto,Area Jakarta Gatot Subroto
317,5,376,KC Jakarta Sudirman 1,Area Jakarta Gatot Subroto
317,5,378,KC Jakarta Rasuna Said,Area Jakarta Gatot Subroto
317,5,426,KC BRI Jakarta Menara Brilian,Area Jakarta Gatot Subroto
317,5,671,KC BURSA EFEK INDONESIA,Area Jakarta Gatot Subroto
317,5,1223,KC JAKARTA MALL AMBASADOR,Area Jakarta Gatot Subroto
317,6,339,KC Jakarta Pasar Minggu,Area Warung Buncit
317,6,341,KC Jakarta Warung Buncit,Area Warung Buncit
317,6,385,KC Pondok Gede,Area Warung Buncit
317,6,390,KC Jakarta Pancoran,Area Warung Buncit
317,6,425,KC Ampera,Area Warung Buncit
317,6,443,KC Jakarta TB Simatupang,Area Warung Buncit
317,6,2101,KC Mabes Cilangkap,Area Warung Buncit
